---------------------------------------------------------------------------------
===
===                      SUBPROCESS TABLES WILL BE USED
===
---------------------------------------------------------------------------------
Ein    W   xB  Q2  t     t0     phi    sigT    sigL   sigTT sigLT sig   
5.75 3.14 0.10 1.00 -0.1 -0.010  0.000  212.5   45.8 -172.5    4.3  218.5
5.75 3.14 0.10 1.00 -0.2 -0.010  0.000  234.2   35.0 -209.0    4.2  238.8
5.75 3.14 0.10 1.00 -0.3 -0.010  0.000  197.8   27.1 -182.2    3.4  201.3
5.75 3.14 0.10 1.00 -0.4 -0.010  0.000  148.3   21.2 -139.0    2.5  151.1
5.75 3.14 0.10 1.00 -0.5 -0.010  0.000  103.6   16.8  -98.1    1.8  105.8
5.75 3.14 0.10 1.00 -0.6 -0.010  0.000   68.7   13.4  -65.4    1.1   70.5
5.75 3.14 0.10 1.00 -0.7 -0.010  0.000   43.8   10.8  -41.7    0.6   45.2
5.75 3.14 0.10 1.00 -0.8 -0.010  0.000   27.0    8.7  -25.4    0.3   28.2
5.75 3.14 0.10 1.00 -0.9 -0.010  0.000   16.4    7.1  -14.7   -0.0   17.3
5.75 3.14 0.10 1.00 -1.0 -0.010  0.000   10.0    5.8   -8.1   -0.2   10.7
5.75 3.14 0.10 1.00 -1.5 -0.010  0.000    4.3    2.4   -0.1   -0.4    4.6
5.75 3.14 0.10 1.00 -2.0 -0.010  0.000    6.0    1.1   -0.5   -0.3    6.2
5.75 2.21 0.20 1.00 -0.1 -0.044  0.000 1374.3   69.4 -736.9   18.8 1430.9
5.75 2.21 0.20 1.00 -0.2 -0.044  0.000 1852.9   57.7 -1335.3   22.4 1900.0
5.75 2.21 0.20 1.00 -0.3 -0.044  0.000 1857.2   48.3 -1433.3   20.3 1896.6
5.75 2.21 0.20 1.00 -0.4 -0.044  0.000 1661.2   40.5 -1311.0   16.8 1694.2
5.75 2.21 0.20 1.00 -0.5 -0.044  0.000 1402.5   34.0 -1110.6   13.1 1430.3
5.75 2.21 0.20 1.00 -0.6 -0.044  0.000 1146.2   28.7 -900.5    9.8 1169.6
5.75 2.21 0.20 1.00 -0.7 -0.044  0.000  919.2   24.3 -710.5    6.9  939.0
5.75 2.21 0.20 1.00 -0.8 -0.044  0.000  729.6   20.7 -550.7    4.6  746.5
5.75 2.21 0.20 1.00 -0.9 -0.044  0.000  576.7   17.6 -421.9    2.8  591.1
5.75 2.21 0.20 1.00 -1.0 -0.044  0.000  456.0   15.0 -320.7    1.4  468.3
5.75 2.21 0.20 1.00 -1.5 -0.044  0.000  157.5    7.2  -78.9   -1.6  163.4
5.75 2.21 0.20 1.00 -2.0 -0.044  0.000   75.1    3.8  -20.7   -1.6   78.2
5.75 1.86 0.28 1.00 -0.1 -0.096  0.000 2690.8   58.1 -142.6   12.9 2743.5
5.75 1.86 0.28 1.00 -0.2 -0.096  0.000 4632.3   51.7 -2449.6   48.8 4679.2
5.75 1.86 0.28 1.00 -0.3 -0.096  0.000 5178.6   45.7 -3298.1   51.6 5220.0
5.75 1.86 0.28 1.00 -0.4 -0.096  0.000 5024.0   40.2 -3394.9   47.5 5060.4
5.75 1.86 0.28 1.00 -0.5 -0.096  0.000 4553.4   35.2 -3134.6   41.3 4585.3
