Ein    W   xB   Q2   t     t0     phi    sigT    sigL   sigTT sigLT sig   
5.75 1.70 0.50 2.00 -2.0 -0.440  0.000  256.4    0.9  -58.7    1.9  257.2
5.75 2.56 0.28 2.20 -0.1 -0.096  0.000   92.8    7.4   -6.3    0.9   96.2
5.75 2.56 0.28 2.20 -0.2 -0.096  0.000  176.5    6.6 -104.8    3.4  179.5
5.75 2.56 0.28 2.20 -0.3 -0.096  0.000  196.9    5.8 -137.3    3.5  199.6
5.75 2.56 0.28 2.20 -0.4 -0.096  0.000  187.3    5.1 -137.3    3.1  189.7
5.75 2.56 0.28 2.20 -0.5 -0.096  0.000  165.3    4.5 -123.1    2.6  167.4
5.75 2.56 0.28 2.20 -0.6 -0.096  0.000  140.0    3.9 -104.2    2.1  141.8
5.75 2.56 0.28 2.20 -0.7 -0.096  0.000  115.6    3.4  -85.0    1.6  117.2
5.75 2.56 0.28 2.20 -0.8 -0.096  0.000   94.1    2.9  -67.8    1.2   95.5
5.75 2.56 0.28 2.20 -0.9 -0.096  0.000   76.0    2.5  -53.3    0.9   77.2
5.75 2.56 0.28 2.20 -1.0 -0.096  0.000   61.2    2.2  -41.4    0.6   62.2
5.75 2.56 0.28 2.20 -1.5 -0.096  0.000   21.7    1.1  -10.9   -0.1   22.2
5.75 2.56 0.28 2.20 -2.0 -0.096  0.000    9.7    0.6   -2.8   -0.2   10.0

